City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (Last 3 hrs),Snow Inches (Last 3 hrs)
169,Saldanha,PT,2019-11-08 19:34:30,41.42,-6.55,42.28,81,55,9.73,Broken clouds,0.0,0.0
170,Cap Malheureux,MU,2019-11-08 19:34:30,-19.98,57.61,69.8,77,20,3.36,Few clouds,0.0,0.0
171,Eenhana,NA,2019-11-08 19:34:30,-17.48,16.34,76.8,49,24,2.3,Light rain,0.5,0.0
172,Oksfjord,NO,2019-11-08 19:34:31,70.24,22.35,30.2,86,90,5.82,Shower snow,0.0,0.0
173,Prince Rupert,CA,2019-11-08 19:34:31,54.32,-130.32,50.0,81,90,12.75,Moderate rain,0.0,0.0
174,Saint-Francois,FR,2019-11-08 19:34:31,46.42,3.91,39.2,93,43,2.24,Scattered clouds,0.0,0.0
175,Upata,VE,2019-11-08 19:34:32,8.02,-62.41,86.0,72,80,1.01,Moderate rain,4.44,0.0
176,Khashuri,GE,2019-11-08 19:34:32,42.0,43.6,45.84,53,0,4.97,Clear sky,0.0,0.0
177,Sibolga,ID,2019-11-08 19:34:32,1.74,98.78,71.35,94,100,1.7,Overcast clouds,0.0,0.0
178,Olinda,AU,2019-11-08 19:34:32,-37.84,145.39,48.99,81,90,12.75,Overcast clouds,0.0,0.0
179,Necochea,AR,2019-11-08 19:34:32,-38.55,-58.74,69.01,38,100,8.01,Overcast clouds,0.0,0.0
180,Mahebourg,MU,2019-11-08 19:34:33,-20.41,57.7,69.8,77,20,3.36,Few clouds,0.0,0.0
181,Coquimbo,CL,2019-11-08 19:34:33,-29.95,-71.34,62.6,67,75,11.41,Broken clouds,0.0,0.0
182,Kungurtug,RU,2019-11-08 19:34:33,50.6,97.53,27.19,83,99,1.3,Overcast clouds,0.0,0.0
183,Pak Phanang,TH,2019-11-08 19:34:34,8.35,100.2,75.83,87,100,2.19,Overcast clouds,0.0,0.0
184,Ugoofaaru,MV,2019-11-08 19:34:34,5.67,73.0,82.04,75,97,7.18,Overcast clouds,0.0,0.0
185,Tuktoyaktuk,CA,2019-11-08 19:34:35,69.44,-133.03,6.8,77,90,5.82,Light snow,0.0,0.0
186,Marzuq,YE,2019-11-08 19:34:35,14.4,46.47,67.12,44,0,1.34,Clear sky,0.0,0.0
187,Soe,EE,2019-11-08 19:34:35,57.91,26.05,39.99,93,86,4.7,Overcast clouds,0.0,0.0
188,Kifri,IQ,2019-11-08 19:34:35,34.69,44.96,69.53,21,0,11.52,Clear sky,0.0,0.0
189,Kampot,KH,2019-11-08 19:34:36,10.62,104.18,77.0,88,40,1.12,Scattered clouds,0.0,0.0
190,Bavly,RU,2019-11-08 19:34:36,54.4,53.24,29.1,96,100,11.45,Light snow,0.0,0.94
191,Rocha,UY,2019-11-08 19:32:26,-34.48,-54.34,61.14,77,34,10.33,Scattered clouds,0.0,0.0
192,Portland,US,2019-11-08 19:34:36,43.66,-70.25,34.0,40,75,20.8,Broken clouds,0.0,0.0
193,Buala,SB,2019-11-08 19:34:37,-8.15,159.59,81.23,78,100,1.88,Overcast clouds,0.0,0.0
194,Akodia,IN,2019-11-08 19:34:37,23.37,76.56,68.67,80,0,4.99,Clear sky,0.0,0.0
195,Samarai,PG,2019-11-08 19:34:37,-10.62,150.67,78.71,87,88,1.68,Overcast clouds,0.0,0.0
196,Saint Anthony,US,2019-11-08 19:34:37,43.97,-111.68,51.8,42,1,6.24,Clear sky,0.0,0.0
197,Zalesovo,RU,2019-11-08 19:34:38,54.0,84.74,37.98,96,100,19.28,Light rain,1.63,0.0
198,Najran,SA,2019-11-08 19:34:38,17.54,44.22,69.8,35,0,1.07,Clear sky,0.0,0.0
199,Lebyazhye,RU,2019-11-08 19:34:38,59.96,29.42,32.0,91,90,2.24,Mist,0.0,0.0
200,Mae Sai,MM,2019-11-08 19:34:38,20.44,99.89,71.6,100,40,1.79,Scattered clouds,0.0,0.0
201,Talnakh,RU,2019-11-08 19:34:39,69.49,88.39,-20.21,75,40,8.95,Scattered clouds,0.0,0.0
202,Polyarnyy,RU,2019-11-08 19:34:39,69.2,33.45,6.8,84,75,1.25,Light shower snow,0.0,0.0
203,Zalalovo,HU,2019-11-08 19:34:39,46.85,16.59,51.8,93,75,3.36,Broken clouds,0.0,0.0
204,Kamyzyak,RU,2019-11-08 19:34:39,46.12,48.08,39.2,93,7,6.71,Clear sky,0.0,0.0
205,Safford,US,2019-11-08 19:30:32,32.83,-109.71,66.2,45,1,8.05,Clear sky,0.0,0.0
206,Arraial Do Cabo,BR,2019-11-08 19:34:40,-22.97,-42.02,80.6,83,75,13.87,Broken clouds,0.0,0.0
207,Tiksi,RU,2019-11-08 19:34:40,71.64,128.87,-16.33,90,100,6.35,Overcast clouds,0.0,0.0
208,Coihaique,CL,2019-11-08 19:34:40,-45.58,-72.07,60.8,31,100,18.34,Overcast clouds,0.0,0.0
209,Pochutla,MX,2019-11-08 19:34:41,15.74,-96.47,91.99,52,20,5.82,Few clouds,0.0,0.0
210,Nixa,US,2019-11-08 19:34:41,37.04,-93.29,44.01,35,1,4.7,Light rain,0.0,0.0
211,Figeac,FR,2019-11-08 19:34:41,44.61,2.03,43.0,100,90,9.17,Overcast clouds,0.0,0.0
212,Maceio,BR,2019-11-08 19:32:01,-9.67,-35.74,84.2,62,40,18.34,Scattered clouds,0.0,0.0
213,Yanam,IN,2019-11-08 19:34:41,16.73,82.22,67.57,77,53,3.22,Broken clouds,0.0,0.0
214,Simbahan,PH,2019-11-08 19:34:42,6.3,120.58,81.82,74,37,4.72,Light rain,1.69,0.0
215,Bedesa,ET,2019-11-08 19:34:42,8.9,40.78,61.68,80,85,0.72,Light rain,0.25,0.0
216,Norman Wells,CA,2019-11-08 19:34:42,65.28,-126.83,12.2,78,75,8.05,Light snow,0.0,0.0
217,Kargil,PK,2019-11-08 19:34:42,34.56,76.13,21.7,52,0,2.98,Clear sky,0.0,0.0
218,Svetlogorsk,RU,2019-11-08 19:34:43,53.14,59.15,32.0,97,90,8.95,Heavy shower snow,0.0,0.0
219,Ancud,CL,2019-11-08 19:34:43,-41.87,-73.83,59.0,58,37,9.17,Scattered clouds,0.0,0.0
220,Batemans Bay,AU,2019-11-08 19:34:43,-35.71,150.18,37.99,84,0,5.01,Clear sky,0.0,0.0
221,Skelleftea,SE,2019-11-08 19:34:43,64.75,20.95,19.4,85,75,6.93,Broken clouds,0.0,0.0
222,Taoudenni,ML,2019-11-08 19:34:44,22.68,-3.98,75.43,19,100,7.23,Overcast clouds,0.0,0.0
223,Kapaa,US,2019-11-08 19:32:54,22.08,-159.32,77.0,73,1,5.82,Clear sky,0.0,0.0
224,Tiznit,MA,2019-11-08 19:34:44,29.7,-9.73,57.72,49,0,3.38,Clear sky,0.0,0.0
225,Zhengjiatun,CN,2019-11-08 19:34:45,43.51,123.51,31.75,49,0,6.02,Clear sky,0.0,0.0
226,Katherine,AU,2019-11-08 19:34:45,-14.47,132.26,82.4,65,14,5.82,Few clouds,0.0,0.0
227,Pisco,PE,2019-11-08 19:34:45,-13.71,-76.2,71.6,30,4,9.17,Clear sky,0.0,0.0
228,Ulladulla,AU,2019-11-08 19:34:45,-35.36,150.48,48.2,66,40,13.87,Scattered clouds,0.0,0.0
