City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Souillac,FR,2019-11-08 08:23:58,45.6,-0.6,46.4,93,100,4.7
202,Gigmoto,PH,2019-11-08 08:23:58,13.78,124.39,85.6,75,76,7.99
203,Sidney,US,2019-11-08 08:19:04,47.72,-104.16,19.4,92,1,9.17
204,Warrnambool,AU,2019-11-08 08:20:18,-38.38,142.48,52.12,62,22,27.34
205,Jeremoabo,BR,2019-11-08 08:23:59,-10.08,-38.34,69.42,82,98,12.71
206,Moundou,TD,2019-11-08 08:24:00,8.57,16.07,86.0,66,0,6.93
207,Zhigansk,RU,2019-11-08 08:24:00,66.77,123.37,-21.14,96,53,8.34
208,Nabire,ID,2019-11-08 08:24:00,-3.36,135.5,75.52,92,100,0.67
209,Petropavlovsk-Kamchatskiy,RU,2019-11-08 08:24:00,53.05,158.65,35.6,69,40,8.95
210,Mosquera,CO,2019-11-08 08:24:01,4.71,-74.23,55.4,82,75,3.36
211,Severodvinsk,RU,2019-11-08 08:24:01,64.56,39.82,21.2,85,90,8.95
212,Cabo San Lucas,MX,2019-11-08 08:24:01,22.89,-109.91,73.11,70,100,1.68
213,Piacabucu,BR,2019-11-08 08:24:01,-10.41,-36.43,79.27,67,100,10.6
214,Rupert,US,2019-11-08 08:24:02,42.62,-113.68,35.6,73,1,1.54
215,Bubaque,GW,2019-11-08 08:24:02,11.28,-15.83,83.3,63,0,8.48
216,Bonavista,CA,2019-11-08 08:24:02,48.65,-53.11,42.89,85,100,26.17
217,Maniwaki,CA,2019-11-08 08:24:02,46.38,-75.98,23.02,77,33,6.49
218,Lukavica,BA,2019-11-08 08:24:03,44.76,18.19,46.4,100,75,3.36
219,Dhidhdhoo,MV,2019-11-08 08:24:03,6.88,73.1,82.2,78,100,10.2
220,Pedasi,PA,2019-11-08 08:24:03,7.53,-80.03,79.32,84,25,12.35
221,Saint-Leu,RE,2019-11-08 08:24:03,-21.15,55.28,82.4,65,20,10.29
222,Lagos,NG,2019-11-08 08:24:04,6.46,3.39,78.8,94,40,2.24
223,Lasa,CY,2019-11-08 08:24:04,34.92,32.53,80.6,39,0,5.82
224,Nikolskoye,RU,2019-11-08 08:24:04,59.7,30.79,28.4,92,90,6.71
225,Waddan,LY,2019-11-08 08:24:04,29.16,16.14,68.14,47,0,7.25
226,Port Hawkesbury,CA,2019-11-08 08:24:05,45.62,-61.36,48.2,93,90,6.93
227,Nigran,ES,2019-11-08 08:24:05,42.14,-8.81,42.8,93,75,4.7
228,Ixtapa,MX,2019-11-08 08:24:05,20.71,-105.21,78.8,94,40,3.36
229,Tiksi,RU,2019-11-08 08:24:05,71.64,128.87,-6.45,93,88,7.65
230,Moose Factory,CA,2019-11-08 08:24:05,51.26,-80.61,3.2,84,20,5.82
231,Pucara,BO,2019-11-08 08:24:06,-21.7,-64.2,63.18,92,100,2.06
232,Araouane,ML,2019-11-08 08:24:06,18.9,-3.53,82.49,15,0,9.19
233,Saint George,GR,2019-11-08 08:24:06,39.45,22.34,60.8,93,40,4.7
234,Yulara,AU,2019-11-08 08:24:06,-25.24,130.99,91.4,8,0,11.41
235,Humboldt,CA,2019-11-08 08:24:07,52.21,-105.12,14.5,92,98,7.47
236,Cuamba,MZ,2019-11-08 08:24:07,-14.8,36.54,94.57,31,13,7.99
237,Cranbrook,CA,2019-11-08 08:24:07,49.51,-115.76,24.8,79,75,2.95
238,Putnok,HU,2019-11-08 08:24:07,48.29,20.43,50.72,77,33,3.51
239,Lorengau,PG,2019-11-08 08:24:08,-2.02,147.27,82.33,80,93,11.34
240,Sambava,MG,2019-11-08 08:24:08,-14.27,50.17,79.36,81,91,4.45
241,Kaitangata,NZ,2019-11-08 08:24:08,-46.28,169.85,56.59,71,100,8.55
242,Rosarito,CO,2019-11-08 08:24:08,4.91,-75.23,65.28,86,100,3.02
243,Yar-Sale,RU,2019-11-08 08:24:09,66.83,70.83,-6.65,92,0,13.76
244,North Bend,US,2019-11-08 08:21:39,43.41,-124.22,42.8,100,90,2.48
245,Peniche,PT,2019-11-08 08:24:09,39.36,-9.38,51.8,87,20,2.24
246,Guangshui,CN,2019-11-08 08:24:09,31.62,113.82,67.42,36,0,4.92
247,Cao Bang,VN,2019-11-08 08:24:10,22.67,106.25,74.16,50,26,4.63
248,Ust-Maya,RU,2019-11-08 08:24:10,60.42,134.54,-9.28,95,98,3.62
249,Goffstown,US,2019-11-08 08:24:10,43.02,-71.6,35.6,59,40,9.17
250,Langsa,ID,2019-11-08 08:24:11,4.47,97.97,77.58,86,100,3.36
251,Huilong,CN,2019-11-08 08:24:11,31.15,106.5,63.16,71,74,3.31
252,Ilulissat,GL,2019-11-08 08:24:11,69.22,-51.1,35.6,31,100,18.34
253,Portland,US,2019-11-08 08:20:06,43.66,-70.25,33.8,64,90,12.75
254,Port Macquarie,AU,2019-11-08 08:24:12,-31.43,152.91,86.0,13,0,14.99
255,Guerrero Negro,MX,2019-11-08 08:24:12,27.97,-114.04,66.13,78,100,6.64
256,Mwadui,TZ,2019-11-08 08:24:13,-3.55,33.6,83.75,44,100,2.44
257,Cobija,BR,2019-11-08 08:24:13,-11.02,-68.77,71.06,98,50,0.81
258,Port Blair,IN,2019-11-08 08:24:13,11.67,92.75,82.9,78,100,11.72
259,Saint-Joseph,FR,2019-11-08 08:24:14,43.56,6.97,55.4,81,67,2.24
260,Kupang,ID,2019-11-08 08:24:14,-10.16,123.6,89.6,55,20,17.22
261,Laguna,BZ,2019-11-08 08:24:14,16.17,-88.94,75.2,100,90,2.64
262,Olinda,AU,2019-11-08 08:22:48,-37.84,145.39,51.8,61,40,20.8
263,Along,IN,2019-11-08 08:24:15,28.17,94.8,76.48,62,100,2.17
264,Tezu,IN,2019-11-08 08:24:15,27.93,96.16,80.64,48,100,1.43
265,Port Shepstone,ZA,2019-11-08 08:24:15,-30.74,30.45,67.03,57,100,10.83
266,Marawi,PH,2019-11-08 08:24:15,8.0,124.29,69.48,95,14,1.36
267,Hokitika,NZ,2019-11-08 08:24:16,-42.72,170.96,58.6,94,51,17.38
268,Rurrenabaque,BO,2019-11-08 08:24:16,-14.44,-67.53,71.56,99,100,1.1
269,Clyde River,CA,2019-11-08 08:24:16,70.47,-68.59,17.6,78,90,10.29
270,Broome,GB,2019-11-08 08:24:16,52.47,1.45,37.4,100,20,8.05
271,Anloga,GH,2019-11-08 08:24:17,5.79,0.9,78.8,94,20,3.36
